Station ID,Neighborhood,City,Station Type,lat,lon,height,zipcode
IHAARLEM1,Haarlem ,Haarlem ,Ultimeter 2000 ,52.367,4.659,1.0,2035 SM
INOORDHO91,Haarlem ,HAARLEM ,WS4000 ,52.358,4.668,0.0,2037 MC
INOORDHO96,Haarlem ,Haarlem ,Nexus TFA ,52.382,4.642,3.0,2011 JM
INOORDHO65,Heerhugowaard ,Heerhugowaard ,davis vantage pro 2 ,52.641,4.823,-3.0,1705 NC
INOORDHO179,THUIS ,Huizen ,Ambient Weather WS-1000 (Wireless) ,52.294,5.247,4.0,1276 DB
INOORDHO56,Vogelzand-Julianadorp ,Julianadorp ,Davis Vantage Vue ,52.892,4.735,9.0,1788 MP
INOORDHO70, ,Koos Meteo , ,52.44,4.802,0.0,1507 VM
INOORDHO92,Haarlemmermeer ,Nieuw-Vennep ,TFA Primus ,52.277,4.617,-7.0,2152 HP
INOORDHO102,Haarlemmermeer ,Nieuw-Vennep ,Cresta TE923 ,52.268,4.631,-3.0,2152 XD
INORTHHO6,Obdam Poelenburg ,Obdam ,Davis Vantage Pro2 ,52.671,4.905,0.0,unknown
INOORDHO66,Oostzaan ,Oostzaan ,Davis Vantage Pro2 plus ,52.434,4.88,0.0,1511 GJ
INOORDHO108,alkmaar ,Oudorp ,Davis ,52.637,4.781,0.0,1829 HJ
INOORDHO69,Schagen ,Schagen ,Alecto 4200 / Fine offset 1081 ,52.789,4.786,3.0,1742 BM
INOORDHO109,Schoorl ,Schoorl ,Davis Vantage Pro 2 Plus ,52.706,4.706,3.0,1871 SJ
ITUITJEN1,Harenkarspel ,Tuitjenhorn ,Davis Vantage pro2 ,52.738,4.752,0.0,1747 EL
INOORDHO104,"Uitgeest, Geesterweg ",Uitgeest ,WMR968 ,52.527,4.707,0.0,1911 HL
INOORDHO83,Edam-Volendam ,Volendam , ,52.5,5.057,-1.0,1132 VC
INOORDHO100, ,Weesp ,Davis Vantage Vue ,52.312,5.057,-2.0,1382 LA
INOORDHO35, ,Wervershoof ,Davis vantage pro plus ,52.735,5.151,-3.0,1693 KT
INOORDHO75,Westzaan ,Westzaan ,Oregon Scientific WMR200 ,52.465,4.768,0.0,unknown
INHOOSTZ1,Zaanstreek ,Zaanstad ,Vantage Davis Pro2 ,52.45,4.822,0.0,1502 BD
INOORDBR50,Helmond - Dierdonk ,Helmond , ,51.493,5.691,17.0,5709 MT
INOORDBR77,MeteoFrits ,Valkenswaard ,Davis Vantage pro 2 ,51.351,5.464,25.0,5554 KD
INOORDHO53,"Limmen, Noordholland ",Limmen ,Davis Vantage Vue ,52.569,4.7,0.0,1906 AG
INOORDHO43, ,Zaandam ,WH1080 ,52.44,4.805,0.0,1507 TK
INORTHBR2,Netherlands Noord Brabant ,Bergen Op Zoom ,Davis Vantage Pro ,51.478,4.283,3.0,4617 LW
INORTHBR5,Drunen ,Drunen ,WH3080 ,51.681,5.119,3.0,5152 VC
INORTHBR8,Stadsedijk ,Oudemolen ,TFA Primus ,51.665,4.442,-2.0,4796 RG
INORTHHO2,Amstelveen - Westwijk ,Amstelveen , ,52.278,4.831,-3.0,unknown
INORTHHO20,Nicolaas Maesstraat ,Amsterdam ,other ,52.355,4.883,18.0,1071 PN
INORTHHO8, ,Hoorn ,TFA Nexus Pro ,52.674,5.089,-2.0,unknown
INORTHHO7, ,Naarden ,Davis Vantage Pro II ,52.289,5.154,4.0,1411 GE
IOVERIJS23,Rosarium ,Almelo ,Scientific Oregon WMR 200 ,52.359,6.641,12.0,7604 EH
IOVERIJS111,Kollenveld ,Almelo ,AcuRite Pro Weather Center ,52.348,6.688,11.0,7607 RS
IOVERIJS38, ,Dalfsen ,s ,52.517,6.257,1.0,7721 WL
IOVERIJS31, ,Enschede ,Alecto WS4000 ,52.206,6.97,41.0,7534 HL
IOVERIJS18,haaksbergen ,Haaksbergen ,wmr-928N ,52.168,6.726,20.0,7483 BK
IOVERIJS30, ,Haaksbergen ,Ws 2500 ,52.17,6.736,22.0,unknown
IOVERIJS28, ,Hellendoorn , ,52.381,6.45,10.0,7447 GK
IOVERIJS33, ,Hengelo , ,52.253,6.8,18.0,7553 LB
IOVERIJS55,Holten ,Holten ,TFA Primus ,52.292,6.434,24.0,7451 HM
IIJSSELM1,IJsselmuiden ,IJsselmuiden ,WS2305 ,52.57,5.928,0.0,8271 DS
IOVERIJS34,Kampen (Fonteinkruid) ,Kampen ,TFA Nexus Pro ,52.551,5.89,1.0,8265 LJ
IOVERIJS12,Twente ,Losser ,CRESTA WXR 815 ,52.255,7.003,36.0,7582 PV
IOVERIJS59, ,Markelo ,Davis Vantage Pro2 ,52.234,6.5,17.0,7475 DA
IOVERIJS35, ,Nijverdal , ,52.376,6.487,0.0,7443 RK
IOVERIJS47,Steenwijkerland ,Vollenhove ,Oregon WMR-88 ,52.678,5.946,0.0,unknown
IOVERIJS49,Vriezenveen ,Vriezenveen ,LaCrosseWS2800 ,52.408,6.62,10.0,7671 GN
IOVERIJS45,Welsum ,Welsum , ,52.311,6.086,3.0,unknown
IOVERIJS51,"Welsum, Katerstede ",Welsum , ,52.329,6.088,3.0,8196 KB
IOVERIJS36, ,Zwolle ,Davis VP2 ,52.519,6.044,0.0,8042 HS
IOVERIJS50, ,Zwolle ,TFA Primus WS-2800 ,52.497,6.105,0.0,8017 HS
ISOUTHHO16,Den Hoorn ,Den Hoorn ,Davis Vantage Pro2 (Wireless) ,52.0,4.335,0.0,2635 GJ
ISOUTHHO6,Flakkee ,Middelharnis ,WMR200 ,51.76,4.156,0.0,3241 GE
IZHVLAAR1,Vlaardingen ,Vlaardingen ,davis vp2 plus ,51.914,4.338,5.0,3131 GG
IUTNIEUW1,Doorslag ,Nieuwegein ,WMR968 ,52.019,5.069,6.0,3435 ZP
IUTRECHT26, ,Amersfoort ,La Crosse WS2350 ,52.181,5.395,6.0,3822 TH
IUTRECHT32,Amersfoort - Zielhorst ,Amersfoort ,Davis Vantage Pro2 ,52.181,5.405,3.0,3822 CS
IUTRECHT35,NMU-Wageningen University ,Amersfoort , ,52.152,5.393,4.0,3817 BK
IUTRECHT96,Geonovum ,Amersfoort ,Davis Vantage Pro2 (Wireless) ,52.152,5.372,13.0,3818 HP
IUTRECHT45,Eemnes ,Eemnes ,Davis Vantage Pro II ,52.248,5.252,2.0,3755 WZ
IUTRECHT16,Hoogland ,Hoogland ,Vantage Pro 2 ,52.192,5.372,1.0,3828 GH
IUTRECHT66,Zenderpark ,IJsselstein ,WH1080 / Alecto-WS4000 ,52.01,5.045,0.0,3404 WC
IUTRECHT49,IJsselstein ,IJSSELSTEIN UT ,Nexus Pro Solar ,52.02,5.06,3.0,3402 PP
IUTRECHT52,Leusden ,Leusden ,WS5000 ,52.13,5.443,3.0,3831 ZK
IUTRECHT63,Maarssenbroek ,Maarssen ,Alinco WS-4000 ,52.139,5.02,3.0,3607 KV
IUTRECHT20,weerstation soestdijk. ,Soest ,La Crosse 2305 gemodificeerd ,52.18,5.284,10.0,3762 CC
IUTRECHT53,Weerstation Overhees ,Soest ,WS4000 ,52.172,5.28,3.0,3766 EP
